TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
30370.2,slash,y00926,Red-shouldered/Tawny-shouldered Blackbird,Red-shouldered/Tawny-shouldered Blackbird,Agelaius assimilis/humeralis,Passeriformes,Icteridae (Troupials and Allies),,
30373,species,yesbla1,Yellow-shouldered Blackbird,Yellow-shouldered Blackbird,Agelaius xanthomus,Passeriformes,Icteridae (Troupials and Allies),,
30376,species,jambla1,Jamaican Blackbird,Jamaican Blackbird,Nesopsar nigerrimus,Passeriformes,Icteridae (Troupials and Allies),,
30377,species,wesmea,Western Meadowlark,Western Meadowlark,Sturnella neglecta,Passeriformes,Icteridae (Troupials and Allies),,
30387,species,easmea,Eastern Meadowlark,Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae (Troupials and Allies),,
30388,issf,easmea3,Eastern Meadowlark (Cuban),Eastern Meadowlark (Cuban),Sturnella magna hippocrepis,Passeriformes,Icteridae (Troupials and Allies),,easmea
30389,issf,easmea2,Eastern Meadowlark (Eastern),Eastern Meadowlark (Eastern),Sturnella magna [magna Group],Passeriformes,Icteridae (Troupials and Allies),,easmea
30404.5,issf,lilmea2,Eastern Meadowlark (Lilian's),Eastern Meadowlark (Lilian's),Sturnella magna [lilianae Group],Passeriformes,Icteridae (Troupials and Allies),,easmea
30406,hybrid,x00827,Western x Eastern Meadowlark (hybrid),Western x Eastern Meadowlark (hybrid),Sturnella neglecta x magna,Passeriformes,Icteridae (Troupials and Allies),,
30409,slash,meadow,Western/Eastern Meadowlark,Western/Eastern Meadowlark,Sturnella neglecta/magna,Passeriformes,Icteridae (Troupials and Allies),,
30409.1,species,rebbla1,Red-breasted Meadowlark,Red-breasted Blackbird,Sturnella militaris,Passeriformes,Icteridae (Troupials and Allies),,
30409.2,species,whbbla2,White-browed Meadowlark,White-browed Blackbird,Sturnella superciliaris,Passeriformes,Icteridae (Troupials and Allies),,
30409.3,species,permea1,Peruvian Meadowlark,Peruvian Meadowlark,Sturnella bellicosa,Passeriformes,Icteridae (Troupials and Allies),,
30409.6,species,pammea1,Pampas Meadowlark,Pampas Meadowlark,Sturnella defilippii,Passeriformes,Icteridae (Troupials and Allies),,
30409.7,species,lotmea1,Long-tailed Meadowlark,Long-tailed Meadowlark,Sturnella loyca,Passeriformes,Icteridae (Troupials and Allies),,
30410,species,yehbla,Yellow-headed Blackbird,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Passeriformes,Icteridae (Troupials and Allies),,
30411,species,melbla1,Melodious Blackbird,Melodious Blackbird,Dives dives,Passeriformes,Icteridae (Troupials and Allies),,
30412,species,cubbla,Cuban Blackbird,Cuban Blackbird,Dives atroviolaceus,Passeriformes,Icteridae (Troupials and Allies),,
30413,species,scrbla1,Scrub Blackbird,Scrub Blackbird,Dives warczewiczi,Passeriformes,Icteridae (Troupials and Allies),,
30416,species,rusbla,Rusty Blackbird,Rusty Blackbird,Euphagus carolinus,Passeriformes,Icteridae (Troupials and Allies),,
30419,species,brebla,Brewer's Blackbird,Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae (Troupials and Allies),,
30420,slash,y00227,Rusty/Brewer's Blackbird,Rusty/Brewer's Blackbird,Euphagus carolinus/cyanocephalus,Passeriformes,Icteridae (Troupials and Allies),,
30421,species,comgra,Common Grackle,Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies),,
30422,issf,comgra1,Common Grackle (Purple),Common Grackle (Purple),Quiscalus quiscula quiscula/stonei,Passeriformes,Icteridae (Troupials and Allies),,comgra
30425,issf,comgra2,Common Grackle (Bronzed),Common Grackle (Bronzed),Quiscalus quiscula versicolor,Passeriformes,Icteridae (Troupials and Allies),,comgra
30426,species,botgra,Boat-tailed Grackle,Boat-tailed Grackle,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies),,
30427,issf,botgra1,Boat-tailed Grackle (major),Boat-tailed Grackle (major),Quiscalus major major,Passeriformes,Icteridae (Troupials and Allies),,botgra
30428,issf,botgra2,Boat-tailed Grackle (torreyi/alabamensis),Boat-tailed Grackle (torreyi/alabamensis),Quiscalus major torreyi/alabamensis,Passeriformes,Icteridae (Troupials and Allies),,botgra
30431,issf,botgra3,Boat-tailed Grackle (westoni),Boat-tailed Grackle (westoni),Quiscalus major westoni,Passeriformes,Icteridae (Troupials and Allies),,botgra
30432,species,grtgra,Great-tailed Grackle,Great-tailed Grackle,Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies),,
30433,issf,grtgra1,Great-tailed Grackle (Western),Great-tailed Grackle (Western),Quiscalus mexicanus [graysoni Group],Passeriformes,Icteridae (Troupials and Allies),,grtgra
30437,issf,grtgra2,Great-tailed Grackle (Great-tailed),Great-tailed Grackle (Great-tailed),Quiscalus mexicanus [mexicanus Group],Passeriformes,Icteridae (Troupials and Allies),,grtgra
30440.5,hybrid,x00753,Brewer's Blackbird x Great-tailed Grackle (hybrid),Brewer's Blackbird x Great-tailed Grackle (hybrid),Euphagus cyanocephalus x Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies),,
30441,slash,y00629,Boat-tailed/Great-tailed Grackle,Boat-tailed/Great-tailed Grackle,Quiscalus major/mexicanus,Passeriformes,Icteridae (Troupials and Allies),,
30442,species,slbgra1,Slender-billed Grackle,Slender-billed Grackle,Quiscalus palustris,Passeriformes,Icteridae (Troupials and Allies),,
30443,species,nicgra1,Nicaraguan Grackle,Nicaraguan Grackle,Quiscalus nicaraguensis,Passeriformes,Icteridae (Troupials and Allies),,
30444,species,gragra1,Greater Antillean Grackle,Greater Antillean Grackle,Quiscalus niger,Passeriformes,Icteridae (Troupials and Allies),,
30452,species,cargra1,Carib Grackle,Carib Grackle,Quiscalus lugubris,Passeriformes,Icteridae (Troupials and Allies),,
30461,spuh,grackl,grackle sp.,grackle sp.,Quiscalus sp.,Passeriformes,Icteridae (Troupials and Allies),,
30462,species,mougra1,Mountain Grackle,Colombian Mountain Grackle,Macroagelaius subalaris,Passeriformes,Icteridae (Troupials and Allies),,
30463,species,gotgra1,Golden-tufted Grackle,Golden-tufted Mountain Grackle,Macroagelaius imthurni,Passeriformes,Icteridae (Troupials and Allies),,
30464,species,oribla1,Oriole Blackbird,Oriole Blackbird,Gymnomystax mexicanus,Passeriformes,Icteridae (Troupials and Allies),,
30465,species,rebgra1,Red-bellied Grackle,Red-bellied Grackle,Hypopyrrhus pyrohypogaster,Passeriformes,Icteridae (Troupials and Allies),,
30466,species,vefgra1,Velvet-fronted Grackle,Velvet-fronted Grackle,Lampropsar tanagrinus,Passeriformes,Icteridae (Troupials and Allies),,
30472,species,chobla1,Chopi Blackbird,Chopi Blackbird,Gnorimopsar chopi,Passeriformes,Icteridae (Troupials and Allies),,
30475,species,ausbla1,Austral Blackbird,Austral Blackbird,Curaeus curaeus,Passeriformes,Icteridae (Troupials and Allies),,
30479,species,forbla1,Forbes's Blackbird,Forbes's Blackbird,Anumara forbesi,Passeriformes,Icteridae (Troupials and Allies),,
30480,species,schbla1,Scarlet-headed Blackbird,Scarlet-headed Blackbird,Amblyramphus holosericeus,Passeriformes,Icteridae (Troupials and Allies),,
30481,species,paebla2,Pale-eyed Blackbird,Pale-eyed Blackbird,Agelasticus xanthophthalmus,Passeriformes,Icteridae (Troupials and Allies),,
30482,species,unibla2,Unicolored Blackbird,Unicolored Blackbird,Agelasticus cyanopus,Passeriformes,Icteridae (Troupials and Allies),,
30487,species,yewbla2,Yellow-winged Blackbird,Yellow-winged Blackbird,Agelasticus thilius,Passeriformes,Icteridae (Troupials and Allies),,
30491,species,chcbla2,Chestnut-capped Blackbird,Chestnut-capped Blackbird,Chrysomus ruficapillus,Passeriformes,Icteridae (Troupials and Allies),,
30494,species,yehbla2,Yellow-hooded Blackbird,Yellow-hooded Blackbird,Chrysomus icterocephalus,Passeriformes,Icteridae (Troupials and Allies),,
30497,species,sacbla2,Saffron-cowled Blackbird,Saffron-cowled Blackbird,Xanthopsar flavus,Passeriformes,Icteridae (Troupials and Allies),,
30498,species,yermar1,Yellow-rumped Marshbird,Yellow-rumped Marshbird,Pseudoleistes guirahuro,Passeriformes,Icteridae (Troupials and Allies),,
30499,species,baymar1,Brown-and-yellow Marshbird,Brown-and-yellow Marshbird,Pseudoleistes virescens,Passeriformes,Icteridae (Troupials and Allies),,
30500,species,bolbla1,Bolivian Blackbird,Bolivian Blackbird,Oreopsar bolivianus,Passeriformes,Icteridae (Troupials and Allies),,
30501,species,bawcow4,Grayish Baywing,Greyish Baywing,Agelaioides badius,Passeriformes,Icteridae (Troupials and Allies),,
30502,species,bawcow3,Pale Baywing,Pale Baywing,Agelaioides fringillarius,Passeriformes,Icteridae (Troupials and Allies),,
30504,slash,bawcow2,Grayish/Pale Baywing,Pale/Greyish Baywing,Agelaioides badius/fringillarius,Passeriformes,Icteridae (Troupials and Allies),,
30506,species,scrcow1,Screaming Cowbird,Screaming Cowbird,Molothrus rufoaxillaris,Passeriformes,Icteridae (Troupials and Allies),,
30507,species,shicow,Shiny Cowbird,Shiny Cowbird,Molothrus bonariensis,Passeriformes,Icteridae (Troupials and Allies),,
30514.5,slash,y00828,Screaming/Shiny Cowbird,Screaming/Shiny Cowbird,Molothrus rufoaxillaris/bonariensis,Passeriformes,Icteridae (Troupials and Allies),,
30515,species,brocow,Bronzed Cowbird,Bronzed/Bronze-brown Cowbird,Molothrus aeneus,Passeriformes,Icteridae (Troupials and Allies),,
30516,issf,brocow1,Bronzed Cowbird (Bronzed),Bronzed Cowbird,Molothrus aeneus [aeneus Group],Passeriformes,Icteridae (Troupials and Allies),,brocow
30520,issf,brocow2,Bronzed Cowbird (Bronze-brown),Bronze-brown Cowbird,Molothrus aeneus armenti,Passeriformes,Icteridae (Troupials and Allies),,brocow
30521,species,bnhcow,Brown-headed Cowbird,Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies),,
30526,slash,y00336,Shiny/Brown-headed Cowbird,Shiny/Brown-headed Cowbird,Molothrus bonariensis/ater,Passeriformes,Icteridae (Troupials and Allies),,
30527,slash,y00337,Bronzed/Brown-headed Cowbird,Bronzed/Brown-headed Cowbird,Molothrus aeneus/ater,Passeriformes,Icteridae (Troupials and Allies),,
30528,species,giacow,Giant Cowbird,Giant Cowbird,Molothrus oryzivorus,Passeriformes,Icteridae (Troupials and Allies),,
30532,species,graori1,Hispaniolan Oriole,Hispaniolan Oriole,Icterus dominicensis,Passeriformes,Icteridae (Troupials and Allies),,
30533,species,graori2,Cuban Oriole,Cuban Oriole,Icterus melanopsis,Passeriformes,Icteridae (Troupials and Allies),,
30534,species,graori3,Bahama Oriole,Bahama Oriole,Icterus northropi,Passeriformes,Icteridae (Troupials and Allies),,
30535,species,graori4,Puerto Rican Oriole,Puerto Rican Oriole,Icterus portoricensis,Passeriformes,Icteridae (Troupials and Allies),,
30536,species,stlori1,St. Lucia Oriole,St. Lucia Oriole,Icterus laudabilis,Passeriformes,Icteridae (Troupials and Allies),,
30537,species,monori1,Montserrat Oriole,Montserrat Oriole,Icterus oberi,Passeriformes,Icteridae (Troupials and Allies),,
30538,species,marori1,Martinique Oriole,Martinique Oriole,Icterus bonana,Passeriformes,Icteridae (Troupials and Allies),,
30539,species,bkvori,Black-vented Oriole,Black-vented Oriole,Icterus wagleri,Passeriformes,Icteridae (Troupials and Allies),,
30542,species,bawori1,Bar-winged Oriole,Bar-winged Oriole,Icterus maculialatus,Passeriformes,Icteridae (Troupials and Allies),,
30543,species,bkcori,Black-cowled Oriole,Black-cowled Oriole,Icterus prosthemelas,Passeriformes,Icteridae (Troupials and Allies),,
30546,species,orcori,Orchard Oriole,Orchard/Ochre Oriole,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies),,
30547,issf,orcori2,Orchard Oriole (Orchard),Orchard Oriole,Icterus spurius spurius,Passeriformes,Icteridae (Troupials and Allies),,orcori
30548,issf,orcori3,Orchard Oriole (Fuertes's),Ochre Oriole,Icterus spurius fuertesi,Passeriformes,Icteridae (Troupials and Allies),,orcori
30549,species,hooori,Hooded Oriole,Hooded Oriole,Icterus cucullatus,Passeriformes,Icteridae (Troupials and Allies),,
30550,issf,hooori2,Hooded Oriole (cucullatus/sennetti),Hooded Oriole (cucullatus/sennetti),Icterus cucullatus cucullatus/sennetti,Passeriformes,Icteridae (Troupials and Allies),,hooori
30553,issf,hooori1,Hooded Oriole (nelsoni Group),Hooded Oriole (nelsoni Group),Icterus cucullatus [nelsoni Group],Passeriformes,Icteridae (Troupials and Allies),,hooori
30557,issf,hooori3,Hooded Oriole (igneus),Hooded Oriole (igneus),Icterus cucullatus igneus,Passeriformes,Icteridae (Troupials and Allies),,hooori
30558,slash,y00488,Orchard/Hooded Oriole,Orchard/Ochre/Hooded Oriole,Icterus spurius/cucullatus,Passeriformes,Icteridae (Troupials and Allies),,
30559,species,yebori1,Yellow-backed Oriole,Yellow-backed Oriole,Icterus chrysater,Passeriformes,Icteridae (Troupials and Allies),,
30564,species,orcori1,Orange-crowned Oriole,Orange-crowned Oriole,Icterus auricapillus,Passeriformes,Icteridae (Troupials and Allies),,
30565,species,wheori1,White-edged Oriole,White-edged Oriole,Icterus graceannae,Passeriformes,Icteridae (Troupials and Allies),,
30566,species,yetori1,Yellow-tailed Oriole,Yellow-tailed Oriole,Icterus mesomelas,Passeriformes,Icteridae (Troupials and Allies),,
30568,slash,y00927,White-edged/Yellow-tailed Oriole,White-edged/Yellow-tailed Oriole,Icterus graceannae/mesomelas,Passeriformes,Icteridae (Troupials and Allies),,
30572,species,epaori1,Epaulet Oriole,Epaulet Oriole,Icterus cayanensis,Passeriformes,Icteridae (Troupials and Allies),,
30573,issf,epaori2,Epaulet Oriole (Moriche),Epaulet Oriole (Moriche),Icterus cayanensis chrysocephalus,Passeriformes,Icteridae (Troupials and Allies),,epaori1
30574,issf,epaori3,Epaulet Oriole (Epaulet),Epaulet Oriole (Epaulet),Icterus cayanensis cayanensis,Passeriformes,Icteridae (Troupials and Allies),,epaori1
30575,species,epaori4,Variable Oriole,Variable Oriole,Icterus pyrrhopterus,Passeriformes,Icteridae (Troupials and Allies),,
30575.5,issf,varori2,Variable Oriole (Yellow-shouldered),Variable Oriole (Yellow-shouldered),Icterus pyrrhopterus tibialis,Passeriformes,Icteridae (Troupials and Allies),,epaori4
30576,issf,varori1,Variable Oriole (Chestnut-shouldered),Variable Oriole (Chestnut-shouldered),Icterus pyrrhopterus [pyrrhopterus Group],Passeriformes,Icteridae (Troupials and Allies),,epaori4
30580,species,ventro1,Venezuelan Troupial,Venezuelan Troupial,Icterus icterus,Passeriformes,Icteridae (Troupials and Allies),,
30584,species,camtro1,Campo Troupial,Campo Troupial,Icterus jamacaii,Passeriformes,Icteridae (Troupials and Allies),,
30585,species,orbtro3,Orange-backed Troupial,Orange-backed Troupial,Icterus croconotus,Passeriformes,Icteridae (Troupials and Allies),,
30588,spuh,troupi1,troupial sp.,troupial sp.,Icterus icterus/croconotus/jamacaii,Passeriformes,Icteridae (Troupials and Allies),,
30589,species,stbori,Streak-backed Oriole,Streak-backed Oriole,Icterus pustulatus,Passeriformes,Icteridae (Troupials and Allies),,
30590,issf,stbori1,Streak-backed Oriole (West Mexican),Streak-backed Oriole (West Mexican),Icterus pustulatus [pustulatus Group],Passeriformes,Icteridae (Troupials and Allies),,stbori
30594,issf,stbori3,Streak-backed Oriole (Streak-backed),Streak-backed Oriole (Streak-backed),Icterus pustulatus [sclateri Group],Passeriformes,Icteridae (Troupials and Allies),,stbori
30599,issf,stbori2,Streak-backed Oriole (Tres Marias Is.),Streak-backed Oriole (Tres Marias Is.),Icterus pustulatus graysonii,Passeriformes,Icteridae (Troupials and Allies),,stbori
30600,species,bulori,Bullock's Oriole,Bullock's Oriole,Icterus bullockii,Passeriformes,Icteridae (Troupials and Allies),,
30604,species,oraori1,Orange Oriole,Orange Oriole,Icterus auratus,Passeriformes,Icteridae (Troupials and Allies),,
30605,species,jamori1,Jamaican Oriole,Jamaican Oriole,Icterus leucopteryx,Passeriformes,Icteridae (Troupials and Allies),,
30609,species,yelori1,Yellow Oriole,Yellow Oriole,Icterus nigrogularis,Passeriformes,Icteridae (Troupials and Allies),,
30614,species,spbori,Spot-breasted Oriole,Spot-breasted Oriole,Icterus pectoralis,Passeriformes,Icteridae (Troupials and Allies),,
30617,species,altori,Altamira Oriole,Altamira Oriole,Icterus gularis,Passeriformes,Icteridae (Troupials and Allies),,
30625,species,audori,Audubon's Oriole,Audubon's Oriole,Icterus graduacauda,Passeriformes,Icteridae (Troupials and Allies),,
30626,issf,audori1,Audubon's Oriole (Audubon's),Audubon's Oriole (Audubon's),Icterus graduacauda graduacauda/audubonii,Passeriformes,Icteridae (Troupials and Allies),,audori
30629,issf,audori2,Audubon's Oriole (Dickey's),Audubon's Oriole (Dickey's),Icterus graduacauda dickeyae/nayaritensis,Passeriformes,Icteridae (Troupials and Allies),,audori
30631.5,hybrid,x00449,Altamira x Audubon's Oriole (hybrid),Altamira x Audubon's Oriole (hybrid),Icterus gularis x graduacauda,Passeriformes,Icteridae (Troupials and Allies),,
30632,species,balori,Baltimore Oriole,Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies),,
30632.5,hybrid,x00013,Bullock's x Baltimore Oriole (hybrid),Bullock's x Baltimore Oriole (hybrid),Icterus bullockii x galbula,Passeriformes,Icteridae (Troupials and Allies),,
30633,slash,y00022,Bullock's/Baltimore Oriole,Bullock's/Baltimore Oriole,Icterus bullockii/galbula,Passeriformes,Icteridae (Troupials and Allies),,
30634,species,blbori1,Black-backed Oriole,Black-backed Oriole,Icterus abeillei,Passeriformes,Icteridae (Troupials and Allies),,
30635,slash,y00630,Bullock's/Black-backed Oriole,Bullock's/Black-backed Oriole,Icterus bullockii/abeillei,Passeriformes,Icteridae (Troupials and Allies),,
30636,species,scoori,Scott's Oriole,Scott's Oriole,Icterus parisorum,Passeriformes,Icteridae (Troupials and Allies),,
30637,spuh,oriole,new world oriole sp.,new world oriole sp.,Icterus sp.,Passeriformes,Icteridae (Troupials and Allies),,
30638,species,yebcac1,Yellow-billed Cacique,Yellow-billed Cacique,Amblycercus holosericeus,Passeriformes,Icteridae (Troupials and Allies),,
30639,issf,yebcac2,Yellow-billed Cacique (Prevost's),Yellow-billed Cacique (Prevost's),Amblycercus holosericeus holosericeus/flavirostris,Passeriformes,Icteridae (Troupials and Allies),,yebcac1
30642,issf,yebcac3,Yellow-billed Cacique (Chapman's),Yellow-billed Cacique (Chapman's),Amblycercus holosericeus australis,Passeriformes,Icteridae (Troupials and Allies),,yebcac1
30642.5,species,yewcac1,Yellow-winged Cacique,Mexican Cacique,Cassiculus melanicterus,Passeriformes,Icteridae (Troupials and Allies),,
30642.54,species,sobcac1,Solitary Black Cacique,Solitary Cacique,Cacicus solitarius,Passeriformes,Icteridae (Troupials and Allies),,
30642.58,species,gowcac1,Golden-winged Cacique,Golden-winged Cacique,Cacicus chrysopterus,Passeriformes,Icteridae (Troupials and Allies),,
30642.62,species,ecucac1,Ecuadorian Cacique,Ecuadorian Cacique,Cacicus sclateri,Passeriformes,Icteridae (Troupials and Allies),,
30642.66,species,selcac1,Selva Cacique,Selva Cacique,Cacicus koepckeae,Passeriformes,Icteridae (Troupials and Allies),,
30642.7,species,scrcac1,Scarlet-rumped Cacique,Scarlet-rumped/Subtropical Cacique,Cacicus uropygialis,Passeriformes,Icteridae (Troupials and Allies),,
30642.74,issf,scrcac2,Scarlet-rumped Cacique (Scarlet-rumped),Scarlet-rumped Cacique (Scarlet-rumped),Cacicus uropygialis microrhynchus,Passeriformes,Icteridae (Troupials and Allies),,scrcac1
30642.78,issf,scrcac3,Scarlet-rumped Cacique (Pacific),Scarlet-rumped Cacique (Pacific),Cacicus uropygialis pacificus,Passeriformes,Icteridae (Troupials and Allies),,scrcac1
30642.82,issf,scrcac4,Scarlet-rumped Cacique (Subtropical),Subtropical Cacique,Cacicus uropygialis uropygialis,Passeriformes,Icteridae (Troupials and Allies),,scrcac1
30642.86,species,yercac1,Yellow-rumped Cacique,Yellow-rumped Cacique,Cacicus cela,Passeriformes,Icteridae (Troupials and Allies),,
30642.9,issf,yercac3,Yellow-rumped Cacique (Western),Yellow-rumped Cacique (Western),Cacicus cela flavicrissus/vitellinus,Passeriformes,Icteridae (Troupials and Allies),,yercac1
30642.99,issf,yercac2,Yellow-rumped Cacique (Amazonian),Yellow-rumped Cacique (Amazonian),Cacicus cela cela,Passeriformes,Icteridae (Troupials and Allies),,yercac1
30643,species,moucac1,Mountain Cacique,Northern/Southern Mountain Cacique,Cacicus chrysonotus,Passeriformes,Icteridae (Troupials and Allies),,
30644,issf,moucac2,Mountain Cacique (Golden-shouldered),Northern Mountain Cacique,Cacicus chrysonotus leucoramphus/peruvianus,Passeriformes,Icteridae (Troupials and Allies),,moucac1
30647,issf,moucac3,Mountain Cacique (Bolivian),Southern Mountain Cacique,Cacicus chrysonotus chrysonotus,Passeriformes,Icteridae (Troupials and Allies),,moucac1
30649,species,batoro1,Band-tailed Cacique,Band-tailed Oropendola,Cacicus latirostris,Passeriformes,Icteridae (Troupials and Allies),,
30651,species,rercac1,Red-rumped Cacique,Red-rumped Cacique,Cacicus haemorrhous,Passeriformes,Icteridae (Troupials and Allies),,
30660,species,casoro2,Casqued Cacique,Casqued Oropendola,Cacicus oseryi,Passeriformes,Icteridae (Troupials and Allies),,
30664.5,spuh,caciqu1,cacique sp.,cacique sp.,Cacicus sp.,Passeriformes,Icteridae (Troupials and Allies),,
30665,species,ruboro1,Russet-backed Oropendola,Russet-backed Oropendola,Psarocolius angustifrons,Passeriformes,Icteridae (Troupials and Allies),,
30673,species,dugoro1,Dusky-green Oropendola,Dusky-green Oropendola,Psarocolius atrovirens,Passeriformes,Icteridae (Troupials and Allies),,
30674,species,greoro1,Green Oropendola,Green Oropendola,Psarocolius viridis,Passeriformes,Icteridae (Troupials and Allies),,
30675,species,creoro1,Crested Oropendola,Crested Oropendola,Psarocolius decumanus,Passeriformes,Icteridae (Troupials and Allies),,
30680,species,chhoro1,Chestnut-headed Oropendola,Chestnut-headed Oropendola,Psarocolius wagleri,Passeriformes,Icteridae (Troupials and Allies),,
30683,species,monoro1,Montezuma Oropendola,Montezuma Oropendola,Psarocolius montezuma,Passeriformes,Icteridae (Troupials and Allies),,
30684,species,blaoro1,Black Oropendola,Black Oropendola,Psarocolius guatimozinus,Passeriformes,Icteridae (Troupials and Allies),,
30685,species,bauoro2,Baudo Oropendola,Baudo Oropendola,Psarocolius cassini,Passeriformes,Icteridae (Troupials and Allies),,
30686,species,olioro1,Olive Oropendola,Olive Oropendola,Psarocolius bifasciatus,Passeriformes,Icteridae (Troupials and Allies),,
30690,spuh,oropen1,oropendola sp.,oropendola sp.,Psarocolius sp.,Passeriformes,Icteridae (Troupials and Allies),,
30693,spuh,blackb,blackbird sp.,blackbird sp.,Icteridae sp.,Passeriformes,Icteridae (Troupials and Allies),,
30694,species,comcha,Common Chaffinch,Common Chaffinch,Fringilla coelebs,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",
30695,issf,comcha3,Common Chaffinch (Common),Common Chaffinch (Common),Fringilla coelebs [coelebs Group],Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30704,issf,comcha5,Common Chaffinch (Azores/Madeira),Common Chaffinch (Azores/Madeira),Fringilla coelebs moreletti/maderensis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30706,issf,comcha4,Common Chaffinch (Canary Is.),Common Chaffinch (Canary Is.),Fringilla coelebs canariensis/ombriosa,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30708,issf,comcha6,Common Chaffinch (La Palma),Common Chaffinch (La Palma),Fringilla coelebs palmae,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30709,issf,comcha1,Common Chaffinch (African),Common Chaffinch (African),Fringilla coelebs africana,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30710,issf,comcha2,Common Chaffinch (Tunisian),Common Chaffinch (Tunisian),Fringilla coelebs spodiogenys,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,comcha
30711,species,blucha1,Blue Chaffinch,Tenerife/Gran Canaria Blue Chaffinch,Fringilla teydea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30714,species,brambl,Brambling,Brambling,Fringilla montifringilla,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30715,species,jameup1,Jamaican Euphonia,Jamaican Euphonia,Euphonia jamaica,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30716,species,plueup1,Plumbeous Euphonia,Plumbeous Euphonia,Euphonia plumbea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30717,species,screup1,Scrub Euphonia,Scrub Euphonia,Euphonia affinis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30718,issf,screup2,Scrub Euphonia (Scrub),Scrub Euphonia (Scrub),Euphonia affinis affinis/olmecorum,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,screup1
30721,issf,screup3,Scrub Euphonia (Godman's),Scrub Euphonia (Godman's),Euphonia affinis godmani,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,screup1
30722,species,puteup1,Purple-throated Euphonia,Purple-throated Euphonia,Euphonia chlorotica,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30728,species,yeceup1,Yellow-crowned Euphonia,Yellow-crowned Euphonia,Euphonia luteicapilla,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30729,species,trieup1,Trinidad Euphonia,Trinidad Euphonia,Euphonia trinitatis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30730,species,vefeup1,Velvet-fronted Euphonia,Velvet-fronted Euphonia,Euphonia concinna,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30731,species,orceup1,Orange-crowned Euphonia,Orange-crowned Euphonia,Euphonia saturata,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30732,species,fineup1,Finsch's Euphonia,Finsch's Euphonia,Euphonia finschi,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30733,species,vioeup1,Violaceous Euphonia,Violaceous Euphonia,Euphonia violacea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30737,species,thbeup1,Thick-billed Euphonia,Thick-billed Euphonia,Euphonia laniirostris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30738,issf,thbeup2,Thick-billed Euphonia (Black-tailed),Thick-billed Euphonia (Black-tailed),Euphonia laniirostris melanura/crassirostris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,thbeup1
30741,issf,thbeup3,Thick-billed Euphonia (Thick-billed),Thick-billed Euphonia (Thick-billed),Euphonia laniirostris [laniirostris Group],Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,thbeup1
30745,species,yeteup1,Yellow-throated Euphonia,Yellow-throated Euphonia,Euphonia hirundinacea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30748,species,gnteup1,Green-throated Euphonia,Green-chinned Euphonia,Euphonia chalybea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30749,species,anteup1,Antillean Euphonia,Antillean Euphonia,Euphonia musica,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
30753,species,eleeup1,Elegant Euphonia,Elegant Euphonia,Euphonia elegantissima,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,
