TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,"English, IOC",SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
273,issf,ricgoo1,Cackling Goose (Richardson's),Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
274,issf,cacgoo2,Cackling Goose (minima),Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
276,issf,tacgoo1,Cackling Goose (Taverner's),Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
276.05,hybrid,x00831,Emperor x Cackling Goose (hybrid),Emperor x Cackling Goose (hybrid),Chen canagica x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.1,hybrid,x00692,Snow x Cackling Goose (hybrid),Snow x Cackling Goose (hybrid),Chen caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.2,hybrid,x00694,Ross's x Cackling Goose (hybrid),Ross's x Cackling Goose (hybrid),Chen rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.25,hybrid,x00722,Brant x Cackling Goose (hybrid),Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.3,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.6,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
277,species,cangoo,Canada Goose,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
278,issf,cangoo4,Canada Goose (moffitti/maxima),Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
281,issf,cangoo3,Canada Goose (occidentalis/fulva),Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
284,issf,cangoo1,Canada Goose (canadensis/interior),Canada Goose (canadensis/interior),Branta canadensis canadensis/interior,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
287,issf,lecgoo1,Canada Goose (parvipes),Canada Goose (parvipes),Branta canadensis parvipes,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
287.1,hybrid,swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.2,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.4,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.5,hybrid,x00758,Graylag x Canada Goose (hybrid),Greylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.6,hybrid,gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),Greylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.65,hybrid,x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.7,hybrid,x00197,Snow x Canada Goose (hybrid),Snow x Canada Goose (hybrid),Chen caerulescens x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.8,hybrid,x00693,Ross's x Canada Goose (hybrid),Ross's x Canada Goose (hybrid),Chen rossii x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.9,hybrid,x00417,Barnacle x Canada Goose (hybrid),Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288,slash,y00470,Cackling/Canada Goose,Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288.5,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Snow/Ross's x Cackling/Canada Goose (hybrid),Chen caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
289,species,hawgoo,Hawaiian Goose,Nene,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
290,species,rebgoo1,Red-breasted Goose,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
291,spuh,branta1,Branta sp.,Branta sp.,Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
292,spuh,goose1,goose sp.,goose sp.,Anser/Chen/Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
293,species,cabgoo1,Cape Barren Goose,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
294,species,freduc1,Freckled Duck,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
295,species,buwgoo1,Blue-winged Goose,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
296,species,mutswa,Mute Swan,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
