species_code,taxon_concept_id,scientific_name,common_name,order,family,family_common,category,taxonomic_order,report_as,extinct
atlbra1,avibase-81A40D31,Branta bernicla hrota,Brant (Pale-bellied),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,316,brant,
blkbra1,avibase-8C09000A,Branta bernicla nigricans,Brant (Black),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,317,brant,
gybbra1,avibase-0A01ABD3,Branta bernicla (Gray-bellied),Brant (Gray-bellied),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",form,318,brant,
brant2,avibase-C0137EBA,Branta bernicla bernicla x nigricans,Brant (Dark-bellied x Black),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",intergrade,319,brant,
brant1,avibase-55742A6E,Branta bernicla hrota x nigricans,Brant (Pale-bellied x Black),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",intergrade,320,brant,
x00685,avibase-AA36FA05,Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,321,,
bargoo,avibase-3163ED86,Branta leucopsis,Barnacle Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,322,,FALSE
x00363,avibase-F62C4CE4,Anser indicus x Branta leucopsis,Bar-headed x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,323,,
x00993,avibase-E2067AC3,Anser canagicus x Branta leucopsis,Emperor x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,324,,
x00994,avibase-4533AD07,Anser caerulescens x Branta leucopsis,Snow x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,325,,
x00995,avibase-87E50E54,Anser rossii x Branta leucopsis,Ross's x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,326,,
x00649,avibase-5920F623,Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,327,,
x00757,avibase-B3D7F924,Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,328,,
x00364,avibase-1384882D,Anser erythropus x Branta leucopsis,Lesser White-fronted x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,329,,
x00756,avibase-F476D05F,Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,330,,
cacgoo1,avibase-60214D49,Branta hutchinsii,Cackling Goose,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,331,,FALSE
