LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2017-05-27 11:00:13	Singapore	SG	Singapore	SG-							Changi Pt	L2534712	P	1.391	103.98758	2012-01-28	12:30:00	obs440130	S16899953	Incidental	P20	EBIRD_AU				1	1		cloudy. With two hours to kill before departure to the airport, I decided not to go back to Pulau Ubin, but just bird the coastal park next to the ferry.
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Singapore Zoo	L2534716	P	1.40507	103.79117	2012-06-20		obs434842	S16623637	Incidental	P20	EBIRD_AU					1		Hot and humid.  Birds listed were free flying outside cages with birds in them.  Milky Storks also seen, and swiftlets which weren't able to be identified. Eremaea Birds List 138175
2017-05-28 05:54:20	Singapore	SG	Singapore	SG-							Sungei Buloh Wetland Reserve	L927971	H	1.4462973	103.7263227	2012-02-18		obs278275	S9867114	Incidental	P20	EBIRD					1		
2017-10-19 13:04:23	Singapore	SG	Singapore	SG-							Sentosa Island	L764282	H	1.2491479	103.828311	2012-02-23	08:00:00	obs214691	S10011787	Traveling	P22	EBIRD	660	7		1	1		
2014-08-04 12:04:19	Singapore	SG	Singapore	SG-							Singapore Island Golf Course	L1431209	P	1.362919	103.81979	2012-02-25	05:10:00	obs189448	S10006568	Traveling	P22	EBIRD	30	.805		3	1		
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Singapore - Esplanade	L1654642	P	1.2895477	103.863165	2012-08-18	11:15:00	obs160139	S11368692	Traveling	P22	EBIRD	150	4.828		1	1		
2017-05-27 10:25:40	Singapore	SG	Singapore	SG-							Changi International Airport	L2534700	P	1.35702	103.98902	2012-07-09		obs341377	S16643212	Incidental	P20	EBIRD_AU					1		Eremaea Birds List 136115
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-20	15:00:00	obs238498	S10084269	Incidental	P20	EBIRD_CAN				2	1	G366407	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-18	17:00:00	obs238498	S10084285	Incidental	P20	EBIRD_CAN				2	1	G366417	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-02	12:00:00	obs238498	S10084247	Incidental	P20	EBIRD_CAN				2	1	G366392	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-21	19:00:00	obs238498	S10084263	Incidental	P20	EBIRD_CAN				2	1	G366403	
2012-03-20 03:23:33	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-20	12:00:00	obs238498	S10084271	Incidental	P20	EBIRD_CAN				2	1	G366409	
2012-03-20 03:23:33	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-18	19:30:00	obs238498	S10084283	Incidental	P20	EBIRD_CAN				2	1	G366416	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-18	14:00:00	obs238498	S10084315	Incidental	P20	EBIRD_CAN				2	1	G366432	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--Little India station	L1439490	P	1.3072999	103.8495165	2012-03-02	15:00:00	obs205759	S10065337	Incidental	P20	EBIRD_CAN				2	1	G366393	
